var1,var2,var3,var4,var5,prob_label
A,D,B,E,B,0.3
D,C,C,C,D,1
A,B,E,E,A,0.09
C,A,A,C,B,1
C,E,C,D,E,0.09
B,E,E,C,C,0.09
B,D,C,D,D,1
D,D,E,E,C,0.09
A,E,C,A,D,0.3
D,D,D,E,C,0.3
A,D,B,C,A,1
E,C,D,D,E,0.09
A,B,A,E,E,0.09
E,B,B,C,E,0.09
C,D,A,B,A,1
C,E,C,A,C,0.3
A,C,E,B,E,0.09
D,C,B,C,D,1
D,B,A,B,B,1
E,E,C,D,E,0.027
C,B,A,C,A,1
B,E,E,B,D,0.09
E,E,D,A,E,0.027
B,E,E,C,B,0.09
D,E,B,C,D,0.3
B,D,C,D,D,1
A,E,B,B,E,0.09
A,D,C,B,D,1
D,D,D,B,E,0.3
B,E,B,D,B,0.3
B,C,E,D,C,0.3
A,D,A,C,E,0.3
A,E,A,E,E,0.027
C,C,E,A,E,0.09
A,D,C,E,A,0.3
C,B,C,B,D,1
D,E,B,A,E,0.09
B,D,C,B,A,1
A,D,E,D,B,0.3
A,C,D,E,A,0.3
E,D,C,C,A,0.3
D,D,E,A,B,0.3
A,C,A,D,C,1
A,E,A,C,B,0.3
A,E,C,E,B,0.09
D,C,E,B,E,0.09
D,A,B,D,E,0.3
E,C,E,B,E,0.027
B,C,C,E,C,0.3
D,A,D,B,C,1
D,E,A,E,B,0.09
A,D,C,A,A,1
C,E,D,E,D,0.09
E,D,E,A,E,0.027
E,A,A,B,A,0.3
B,B,D,E,D,0.3
C,A,B,C,B,1
A,B,E,C,C,0.3
B,A,D,A,B,1
D,B,D,C,C,1
E,D,E,C,B,0.09
D,D,A,A,A,1
A,A,C,B,E,0.3
C,C,B,C,C,1
A,E,C,A,A,0.3
D,C,C,C,E,0.3
B,C,E,A,D,0.3
B,C,E,E,A,0.09
B,D,B,D,D,1
E,E,A,A,A,0.09
C,E,E,C,C,0.09
A,A,D,D,B,1
E,C,A,D,D,0.3
D,C,B,C,E,0.3
C,A,C,E,C,0.3
E,A,E,A,D,0.09
D,C,C,C,C,1
A,B,A,B,E,0.3
A,A,D,C,A,1
D,B,A,D,A,1
A,C,E,E,B,0.09
E,C,D,B,C,0.3
C,B,B,B,E,0.3
C,C,B,D,A,1
C,A,D,B,C,1
A,E,A,A,B,0.3
C,E,D,C,B,0.3
A,E,C,D,C,0.3
A,E,C,B,B,0.3
D,C,E,B,D,0.3
A,B,A,A,C,1
C,B,E,D,E,0.09
A,D,D,E,C,0.3
C,A,A,D,D,1
A,D,E,B,C,0.3
C,A,A,D,A,1
D,D,E,B,D,0.3
A,E,A,C,C,0.3
C,B,E,D,C,0.3
A,A,E,A,A,0.3
D,E,E,C,A,0.09
E,B,B,D,D,0.3
D,B,D,B,C,1
D,B,A,C,E,0.3
E,A,B,B,B,0.3
A,B,B,C,E,0.3
C,D,E,E,E,0.027
E,D,E,B,E,0.027
C,E,E,C,E,0.027
E,E,E,A,C,0.027
C,B,D,A,E,0.3
C,E,E,E,A,0.027
B,A,C,D,C,1
E,A,E,B,B,0.09
D,B,C,B,A,1
E,A,A,B,E,0.09
C,B,D,D,B,1
C,D,B,B,B,1
C,D,D,E,B,0.3
A,B,B,D,D,1
C,C,A,C,A,1
A,E,C,E,D,0.09
B,A,D,E,A,0.3
B,E,E,C,E,0.027
C,C,C,D,D,1
E,A,A,E,D,0.09
A,B,D,A,D,1
B,A,E,C,C,0.3
B,E,D,A,B,0.3
C,D,B,D,C,1
C,A,D,B,C,1
C,A,E,E,B,0.09
A,A,A,C,B,1
D,E,B,C,A,0.3
C,C,D,B,B,1
C,B,E,E,C,0.09
A,A,A,A,A,1
A,D,E,B,B,0.3
C,B,E,D,B,0.3
B,E,B,E,C,0.09
A,A,D,C,D,1
C,A,E,D,A,0.3
B,B,C,B,E,0.3
D,D,A,B,A,1
A,A,E,C,A,0.3
D,D,C,A,B,1
E,D,C,B,B,0.3
B,A,E,A,A,0.3
C,C,B,D,C,1
D,B,C,E,A,0.3
A,B,E,C,B,0.3
E,D,A,D,A,0.3
D,E,C,C,B,0.3
A,D,D,B,D,1
A,B,E,D,C,0.3
C,D,D,D,E,0.3
D,D,E,A,D,0.3
B,D,B,A,B,1
B,B,D,C,E,0.3
A,B,A,B,C,1
A,B,B,A,A,1
B,E,C,D,B,0.3
C,A,E,B,B,0.3
A,E,B,C,A,0.3
E,C,C,E,D,0.09
C,A,E,D,C,0.3
E,B,D,E,C,0.09
C,A,A,A,B,1
E,B,C,A,B,0.3
C,E,A,D,D,0.3
A,B,C,A,D,1
C,A,B,C,A,1
E,B,B,C,B,0.3
A,B,B,B,E,0.3
C,B,C,B,E,0.3
D,D,E,A,B,0.3
A,A,E,D,C,0.3
A,A,E,C,C,0.3
E,B,A,A,A,0.3
A,E,D,B,A,0.3
D,D,B,A,D,1
B,A,E,B,D,0.3
C,D,D,D,B,1
D,E,B,A,C,0.3
C,C,A,E,A,0.3
E,D,D,B,E,0.09
E,E,A,C,B,0.09
E,A,D,E,D,0.09
D,E,D,D,E,0.09
B,D,B,B,E,0.3
C,E,D,A,E,0.09
D,B,B,C,C,1
A,C,B,D,D,1
B,D,A,E,E,0.09
B,C,D,A,D,1
E,C,C,A,E,0.09
C,D,D,B,A,1
E,E,E,E,E,0.00243
A,B,B,E,B,0.3
D,D,C,B,A,1
B,B,C,E,D,0.3
B,B,E,C,E,0.09
A,E,B,B,C,0.3
C,E,B,C,C,0.3
C,C,C,A,C,1
E,D,D,E,C,0.09
A,A,A,E,D,0.3
E,E,A,C,E,0.027
B,E,D,B,C,0.3
B,D,A,C,C,1
D,B,D,E,D,0.3
C,E,E,C,B,0.09
C,D,E,E,B,0.09
A,A,A,D,B,1
E,A,A,D,B,0.3
D,D,A,A,E,0.3
E,A,D,B,D,0.3
B,D,E,E,E,0.027
A,D,A,E,B,0.3
A,E,A,D,D,0.3
A,D,D,C,A,1
E,A,E,D,C,0.09
D,B,C,C,A,1
B,C,B,B,D,1
D,E,E,E,D,0.027
A,A,D,A,A,1
A,B,E,E,A,0.09
A,D,C,A,C,1
E,B,E,D,E,0.027
D,A,B,B,B,1
A,B,D,B,B,1
E,A,A,A,C,0.3
C,E,D,A,E,0.09
B,D,D,B,B,1
B,E,A,A,E,0.09
E,D,A,B,B,0.3
C,A,C,A,E,0.3
D,A,B,B,B,1
D,D,A,E,C,0.3
C,D,C,E,D,0.3
B,E,C,B,B,0.3
D,A,A,D,C,1
A,E,D,B,D,0.3
E,A,B,A,D,0.3
D,D,B,C,C,1
A,B,B,C,E,0.3
D,E,D,B,B,0.3
D,C,B,D,E,0.3
A,E,D,E,B,0.09
B,D,E,E,E,0.027
A,E,E,A,C,0.09
D,A,E,D,E,0.09
E,C,D,D,B,0.3
B,D,D,A,B,1
D,E,C,C,A,0.3
A,C,C,E,E,0.09
D,D,A,E,E,0.09
E,A,D,B,C,0.3
D,D,D,B,C,1
E,C,C,D,A,0.3
E,E,D,A,C,0.09
A,A,C,A,A,1
C,B,A,C,B,1
D,A,C,A,C,1
A,A,B,B,C,1
D,E,B,C,E,0.09
C,B,A,D,D,1
A,C,E,B,A,0.3
D,D,D,A,D,1
C,B,D,B,D,1
B,A,E,E,B,0.09
D,C,C,E,B,0.3
C,A,E,B,C,0.3
D,B,E,D,C,0.3
B,E,A,D,D,0.3
D,E,D,A,C,0.3
D,A,A,B,B,1
A,A,B,D,C,1
E,D,E,C,D,0.09
D,D,E,A,C,0.3
B,D,A,A,B,1
A,B,C,D,A,1
B,A,E,D,C,0.3
E,C,D,D,B,0.3
C,B,B,D,C,1
E,D,A,C,D,0.3
D,A,A,B,A,1
E,C,D,A,E,0.09
A,E,E,C,D,0.09
A,E,C,E,B,0.09
B,E,A,B,A,0.3
D,C,B,A,E,0.3
E,D,A,A,C,0.3
D,B,E,C,E,0.09
E,A,E,B,A,0.09
D,A,A,C,E,0.3
B,B,E,B,D,0.3
A,C,E,C,E,0.09
D,D,B,A,A,1
C,E,D,B,D,0.3
C,C,D,C,C,1
E,C,D,C,D,0.3
A,A,D,B,A,1
B,E,B,B,C,0.3
D,A,B,B,B,1
B,B,E,D,C,0.3
E,E,B,C,B,0.09
D,C,A,D,A,1
D,E,A,C,A,0.3
B,E,D,E,A,0.09
B,C,E,E,A,0.09
D,E,A,B,E,0.09
A,E,B,A,E,0.09
D,E,A,E,E,0.027
C,C,B,A,A,1
C,D,C,E,E,0.09
C,E,C,A,B,0.3
B,C,C,E,D,0.3
C,C,E,D,C,0.3
D,B,D,D,B,1
A,C,D,D,E,0.3
D,B,C,C,B,1
A,B,C,E,E,0.09
C,A,B,A,D,1
C,C,D,B,B,1
C,A,D,B,B,1
C,C,E,D,D,0.3
C,D,C,A,B,1
A,E,E,B,B,0.09
B,C,A,A,E,0.3
D,E,B,A,E,0.09
B,E,D,D,C,0.3
A,E,D,E,B,0.09
C,B,D,D,C,1
A,C,B,A,E,0.3
D,E,B,A,A,0.3
D,E,B,E,B,0.09
D,C,B,D,E,0.3
D,D,D,B,E,0.3
B,D,B,D,D,1
B,D,E,C,B,0.3
B,A,A,A,E,0.3
B,C,A,B,D,1
A,E,E,E,C,0.027
D,A,D,C,B,1
E,C,B,E,C,0.09
B,B,B,B,B,1
C,B,D,A,C,1
B,A,A,B,C,1
D,E,A,C,A,0.3
E,A,C,A,C,0.3
E,C,A,B,B,0.3
C,A,B,E,B,0.3
D,E,B,D,C,0.3
B,B,E,D,B,0.3
A,D,D,B,A,1
B,C,C,B,A,1
D,E,E,D,C,0.09
A,D,B,A,D,1
A,C,D,C,A,1
C,B,B,E,B,0.3
C,E,E,E,B,0.027
E,B,E,C,A,0.09
D,E,C,E,E,0.027
A,A,B,A,C,1
D,A,D,C,A,1
C,D,B,C,D,1
E,A,E,B,E,0.027
B,D,A,D,C,1
E,C,B,C,C,0.3
A,C,C,A,C,1
E,B,A,E,B,0.09
D,D,B,E,A,0.3
A,C,E,C,E,0.09
E,E,A,D,A,0.09
B,C,C,D,B,1
C,B,B,D,D,1
E,B,C,D,C,0.3
A,A,C,C,A,1
C,E,B,E,B,0.09
B,D,E,D,C,0.3
A,D,E,B,C,0.3
B,D,B,C,D,1
A,D,D,D,B,1
E,A,C,A,E,0.09
B,E,A,E,C,0.09
D,B,E,B,A,0.3
E,B,C,A,A,0.3
B,C,A,B,E,0.3
A,C,D,D,E,0.3
B,D,E,E,D,0.09
E,E,C,A,D,0.09
B,D,B,B,D,1
A,E,C,C,D,0.3
B,C,B,E,C,0.3
E,A,A,A,D,0.3
E,E,B,C,C,0.09
B,D,C,C,A,1
B,E,A,B,A,0.3
D,E,B,A,A,0.3
B,B,B,E,A,0.3
C,C,A,C,A,1
D,B,A,B,B,1
C,C,D,A,B,1
E,E,E,C,D,0.027
E,E,A,A,D,0.09
B,A,B,D,C,1
E,B,A,E,D,0.09
C,B,A,E,A,0.3
C,A,A,D,B,1
D,A,E,C,C,0.3
D,C,B,D,C,1
E,D,B,A,D,0.3
C,C,D,C,B,1
E,C,E,C,D,0.09
D,B,E,B,B,0.3
B,D,D,B,E,0.3
C,A,E,E,A,0.09
E,A,C,E,B,0.09
A,D,B,A,A,1
B,D,C,E,D,0.3
B,A,E,C,D,0.3
A,A,A,A,C,1
B,D,C,B,C,1
D,A,E,C,A,0.3
E,A,D,C,C,0.3
C,E,D,B,E,0.09
D,A,C,D,C,1
D,E,D,D,E,0.09
D,E,E,B,E,0.027
E,C,E,B,C,0.09
B,E,A,E,C,0.09
B,B,B,B,D,1
D,B,B,D,C,1
E,C,D,B,D,0.3
E,A,E,D,D,0.09
D,A,C,A,B,1
E,D,E,B,B,0.09
E,D,E,C,C,0.09
D,A,D,C,E,0.3
C,A,E,B,E,0.09
E,A,A,D,E,0.09
D,A,C,A,C,1
D,A,A,E,B,0.3
C,E,C,D,D,0.3
B,A,A,D,C,1
D,E,D,C,A,0.3
B,C,A,C,D,1
D,B,B,B,C,1
D,E,D,C,B,0.3
A,D,E,D,E,0.09
D,A,D,B,C,1
C,A,E,B,C,0.3
B,E,B,C,E,0.09
E,A,D,D,C,0.3
E,D,B,A,A,0.3
A,D,A,A,E,0.3
A,A,E,B,C,0.3
D,B,B,D,A,1
D,D,A,A,D,1
B,B,A,D,C,1
B,A,B,D,A,1
A,E,C,A,A,0.3
C,C,E,B,D,0.3
C,B,D,E,E,0.09
D,B,E,A,E,0.09
C,A,A,E,B,0.3
B,B,E,A,A,0.3
C,C,E,C,D,0.3
B,E,A,D,E,0.09
A,B,C,D,C,1
B,E,C,C,D,0.3
E,C,C,B,A,0.3
B,C,B,C,E,0.3
E,C,B,E,C,0.09
C,D,B,E,D,0.3
D,D,E,C,B,0.3
D,D,C,B,A,1
D,D,D,D,A,1
D,C,C,C,E,0.3
B,B,D,C,A,1
B,E,E,E,D,0.027
A,D,C,E,E,0.09
A,D,A,B,C,1
C,B,D,B,C,1
A,C,E,E,B,0.09
C,B,C,C,C,1
A,E,C,E,A,0.09
C,D,E,C,A,0.3
E,C,E,A,E,0.027
C,B,A,A,E,0.3
C,B,D,C,C,1
A,A,E,A,D,0.3
E,B,C,C,C,0.3
A,B,B,A,A,1
B,E,C,C,E,0.09
E,E,D,A,B,0.09
A,C,E,C,D,0.3
E,D,D,E,E,0.027
A,C,D,A,E,0.3
A,C,D,C,A,1
D,A,C,C,B,1
A,D,B,D,C,1
A,C,A,B,D,1
A,E,B,D,D,0.3
D,D,B,C,E,0.3
B,B,B,A,B,1
C,E,E,B,D,0.09
C,A,D,A,A,1
C,A,A,A,C,1
B,E,A,B,D,0.3
E,D,A,D,D,0.3
C,B,C,E,A,0.3
C,C,C,B,D,1
E,B,C,A,D,0.3
E,B,E,C,B,0.09
B,A,E,D,C,0.3
C,C,D,A,D,1
E,A,A,A,A,0.3
C,B,B,E,B,0.3
D,E,D,C,A,0.3
D,C,A,C,C,1
B,E,C,B,C,0.3
D,D,A,B,D,1
C,A,B,A,A,1
B,A,A,E,D,0.3
B,A,D,A,E,0.3
A,E,C,E,E,0.027
C,D,A,D,D,1
D,B,D,E,E,0.09
A,A,A,E,C,0.3
B,E,C,D,B,0.3
C,B,C,D,A,1
D,C,D,C,C,1
B,D,B,B,D,1
D,C,B,E,B,0.3
B,A,B,B,D,1
B,B,D,A,D,1
D,E,E,D,C,0.09
A,C,D,E,A,0.3
B,B,C,E,A,0.3
A,A,C,A,E,0.3
A,C,D,D,E,0.3
D,C,B,B,A,1
E,D,D,E,B,0.09
C,A,D,C,B,1
A,C,E,E,C,0.09
D,B,C,E,C,0.3
C,E,A,C,C,0.3
C,E,A,B,A,0.3
D,B,B,D,C,1
B,C,D,B,D,1
A,E,C,B,E,0.09
A,D,B,E,D,0.3
A,D,C,E,E,0.09
B,C,C,B,B,1
D,A,C,A,A,1
C,B,E,B,C,0.3
A,E,C,C,C,0.3
C,A,E,A,E,0.09
B,E,B,C,C,0.3
D,D,E,E,D,0.09
E,D,C,A,A,0.3
D,A,E,B,C,0.3
C,C,A,D,A,1
E,C,E,D,D,0.09
D,E,C,C,D,0.3
E,D,B,A,D,0.3
E,C,A,A,C,0.3
C,D,E,B,B,0.3
D,A,D,A,E,0.3
E,B,B,B,B,0.3
E,C,B,B,B,0.3
E,D,B,C,D,0.3
A,E,D,D,D,0.3
C,E,E,E,C,0.027
A,B,A,B,E,0.3
D,B,B,E,B,0.3
A,C,A,A,B,1
B,B,A,D,C,1
D,B,B,C,E,0.3
B,B,C,A,D,1
A,D,D,B,A,1
A,A,D,B,B,1
D,C,A,B,E,0.3
B,D,B,C,B,1
D,C,E,D,A,0.3
D,C,B,D,A,1
E,A,D,A,C,0.3
C,A,D,B,C,1
C,A,E,E,B,0.09
C,E,E,B,E,0.027
E,D,B,B,D,0.3
D,D,C,E,E,0.09
B,E,B,B,C,0.3
C,E,A,D,D,0.3
B,A,A,A,A,1
C,E,A,B,E,0.09
C,D,D,B,D,1
E,C,B,B,D,0.3
D,B,A,C,B,1
E,E,E,B,D,0.027
A,E,C,A,E,0.09
C,A,A,E,C,0.3
B,D,B,D,E,0.3
B,E,D,D,B,0.3
C,C,E,A,E,0.09
D,A,B,E,D,0.3
A,E,A,B,D,0.3
A,B,E,E,E,0.027
C,B,C,C,D,1
E,C,C,D,E,0.09
A,B,B,B,D,1
B,C,B,E,D,0.3
C,D,B,A,C,1
D,C,E,B,D,0.3
E,D,E,E,C,0.027
E,E,D,C,D,0.09
A,E,E,B,D,0.09
C,C,B,D,C,1
E,B,B,A,A,0.3
B,E,C,A,B,0.3
B,D,E,B,B,0.3
B,C,E,C,D,0.3
E,D,D,B,B,0.3
B,A,E,C,E,0.09
C,E,A,B,E,0.09
E,E,C,D,A,0.09
E,A,D,D,E,0.09
A,D,B,A,C,1
E,D,E,A,C,0.09
A,E,C,B,C,0.3
A,A,B,D,B,1
D,D,A,A,A,1
A,E,D,C,C,0.3
E,B,E,B,D,0.09
E,B,C,D,E,0.09
A,C,B,B,E,0.3
B,C,B,D,A,1
E,C,A,D,A,0.3
C,E,C,B,D,0.3
E,E,C,C,A,0.09
D,E,D,E,A,0.09
C,C,A,B,D,1
C,A,E,E,A,0.09
E,D,C,E,D,0.09
D,B,A,B,C,1
B,A,E,D,B,0.3
B,B,B,E,E,0.09
A,B,D,E,B,0.3
B,D,D,B,A,1
E,B,A,E,D,0.09
D,A,C,A,C,1
B,A,D,A,D,1
B,B,D,A,A,1
C,A,E,B,B,0.3
C,E,B,D,A,0.3
B,B,B,A,B,1
C,D,A,C,D,1
E,D,D,A,C,0.3
B,C,B,A,E,0.3
D,D,D,D,A,1
E,E,B,D,C,0.09
C,A,A,D,E,0.3
A,B,B,E,E,0.09
D,A,E,D,A,0.3
B,E,E,D,E,0.027
E,E,E,A,B,0.027
A,A,B,A,D,1
B,E,E,E,B,0.027
D,A,D,B,E,0.3
E,A,B,E,E,0.027
E,C,E,D,C,0.09
C,A,D,C,B,1
D,D,E,D,D,0.3
E,C,B,D,C,0.3
A,D,C,D,A,1
D,A,A,E,C,0.3
E,A,C,B,D,0.3
C,D,A,A,E,0.3
E,B,A,A,C,0.3
E,C,C,D,D,0.3
C,A,E,E,D,0.09
C,A,D,C,B,1
D,E,C,C,C,0.3
C,B,C,A,A,1
A,A,B,B,A,1
A,E,E,A,C,0.09
A,A,D,E,C,0.3
E,B,D,A,A,0.3
B,A,A,A,D,1
D,D,B,E,D,0.3
C,D,D,A,A,1
C,D,A,B,C,1
C,A,E,B,A,0.3
B,D,C,A,E,0.3
B,E,B,B,C,0.3
B,C,A,D,D,1
E,A,A,B,E,0.09
B,A,E,B,A,0.3
B,E,C,B,D,0.3
C,B,E,A,A,0.3
B,B,B,C,A,1
E,E,A,A,A,0.09
A,C,E,C,E,0.09
C,C,E,D,E,0.09
E,A,C,B,E,0.09
D,E,A,E,B,0.09
A,D,A,E,A,0.3
C,B,B,B,A,1
D,A,C,D,E,0.3
E,B,C,E,D,0.09
B,E,C,B,E,0.09
B,D,E,A,B,0.3
D,B,D,B,B,1
A,C,A,E,E,0.09
A,E,E,C,C,0.09
D,B,A,B,D,1
A,E,C,D,A,0.3
D,E,E,D,D,0.09
E,B,D,C,D,0.3
A,D,B,B,A,1
C,C,A,E,B,0.3
E,E,C,E,B,0.027
A,B,E,E,D,0.09
E,A,B,E,A,0.09
E,A,C,A,D,0.3
A,B,B,C,B,1
A,B,C,E,D,0.3
E,A,B,A,A,0.3
C,D,A,C,C,1
B,C,E,C,D,0.3
D,E,C,C,A,0.3
E,B,C,A,E,0.09
E,D,C,C,C,0.3
D,C,C,A,A,1
D,C,C,A,E,0.3
A,B,B,C,B,1
D,B,A,E,E,0.09
C,D,A,E,D,0.3
C,C,E,A,D,0.3
C,E,C,A,A,0.3
E,B,B,D,E,0.09
A,D,E,E,E,0.027
C,D,C,A,C,1
D,B,B,E,A,0.3
D,B,C,B,C,1
A,D,B,B,E,0.3
C,E,A,C,A,0.3
A,B,E,B,D,0.3
D,D,E,D,B,0.3
D,A,D,C,B,1
B,C,B,A,E,0.3
A,B,E,C,B,0.3
D,E,C,C,B,0.3
B,A,E,E,D,0.09
D,B,E,E,D,0.09
D,A,C,C,D,1
E,E,B,D,E,0.027
C,B,D,D,C,1
A,E,A,A,D,0.3
C,E,D,D,A,0.3
B,B,D,E,B,0.3
B,B,D,A,B,1
E,C,A,B,C,0.3
C,E,D,B,D,0.3
A,A,E,C,A,0.3
D,A,A,A,A,1
C,E,A,E,E,0.027
D,C,D,E,E,0.09
E,E,C,E,A,0.027
D,C,E,D,A,0.3
D,A,E,D,C,0.3
D,C,D,C,A,1
A,A,A,D,D,1
E,E,E,C,D,0.027
A,D,D,A,A,1
D,D,B,C,C,1
D,C,D,C,D,1
E,D,D,A,B,0.3
B,E,D,C,C,0.3
E,A,C,E,A,0.09
A,B,B,D,B,1
B,B,A,D,E,0.3
D,C,B,E,E,0.09
A,C,A,A,E,0.3
A,B,E,A,B,0.3
A,B,C,A,D,1
A,C,E,B,B,0.3
B,B,D,B,C,1
D,E,A,E,D,0.09
E,A,D,E,C,0.09
B,E,D,B,B,0.3
B,D,E,A,A,0.3
E,E,B,C,D,0.09
B,D,B,D,C,1
B,D,B,A,C,1
